chrom	se_thetahat	thetahat	gene	genename
9	0.0576633997261524	-0.118308000266552	ENSG00000175768.8	TOMM5
9	0.0479307994246483	-0.0763143002986908	ENSG00000175768.8	TOMM5
9	0.0479305014014244	-0.0763067975640297	ENSG00000175768.8	TOMM5
9	0.0479683987796307	0.0764304995536804	ENSG00000175768.8	TOMM5
9	0.104415997862816	0.046288900077343	ENSG00000175768.8	TOMM5
9	0.116898998618126	0.0156888999044895	ENSG00000175768.8	TOMM5
9	0.048928901553154	-0.080520898103714	ENSG00000175768.8	TOMM5
9	0.0520039014518261	0.101447999477386	ENSG00000175768.8	TOMM5
9	0.100583001971245	0.0794015973806381	ENSG00000175768.8	TOMM5
9	0.120425000786781	0.027301799505949	ENSG00000175768.8	TOMM5
9	0.0984657034277916	0.019896199926734	ENSG00000175768.8	TOMM5
9	0.0480103008449078	0.0775149017572403	ENSG00000175768.8	TOMM5
9	0.0519069992005825	-0.106917999684811	ENSG00000175768.8	TOMM5
9	0.0574686005711555	-0.128015995025635	ENSG00000175768.8	TOMM5
9	0.0480104982852936	-0.0775187015533447	ENSG00000175768.8	TOMM5
9	0.103271998465061	-0.0496036000549793	ENSG00000175768.8	TOMM5
9	0.072733998298645	-0.147530004382133	ENSG00000175768.8	TOMM5
9	0.103271998465061	0.0496036000549793	ENSG00000175768.8	TOMM5
9	0.135385006666183	-0.145202994346619	ENSG00000175768.8	TOMM5
9	0.0519066005945206	0.106893002986908	ENSG00000175768.8	TOMM5
9	0.0480094999074936	0.0775095969438553	ENSG00000175768.8	TOMM5
9	0.0574684999883175	-0.128016993403435	ENSG00000175768.8	TOMM5
9	0.0384536013007164	-0.044412299990654	ENSG00000175768.8	TOMM5
9	0.1032600030303	0.0495906993746758	ENSG00000175768.8	TOMM5
9	0.0584228001534939	0.134567007422447	ENSG00000175768.8	TOMM5
9	0.0584228001534939	0.134567007422447	ENSG00000175768.8	TOMM5
9	0.0584228001534939	0.134567007422447	ENSG00000175768.8	TOMM5
9	0.119722001254559	0.00510900979861617	ENSG00000175768.8	TOMM5
9	0.0477298013865948	-0.066956602036953	ENSG00000175768.8	TOMM5
9	0.0498778000473976	0.0729902014136314	ENSG00000175768.8	TOMM5
9	0.119470000267029	-0.0588602013885975	ENSG00000175768.8	TOMM5
9	0.112577997148037	-0.091821700334549	ENSG00000175768.8	TOMM5
9	0.102511003613472	-0.065829299390316	ENSG00000175768.8	TOMM5
9	0.0521516017615795	-0.132247999310493	ENSG00000175768.8	TOMM5
9	0.0563137009739876	-0.108521997928619	ENSG00000175768.8	TOMM5
